time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,13,6,0,0
2026-04-06 00:00:00+00:00,10,6,0,0
2026-04-07 00:00:00+00:00,12,7,0,0
2026-04-08 00:00:00+00:00,22,8,0,0
2026-04-09 00:00:00+00:00,19,6,1,1
2026-04-10 00:00:00+00:00,1,1,0,0
2026-04-11 00:00:00+00:00,6,5,0,0
2026-04-12 00:00:00+00:00,16,6,10,1
2026-04-13 00:00:00+00:00,14,8,1,1
2026-04-14 00:00:00+00:00,4,3,0,0
2026-04-15 00:00:00+00:00,30,8,0,0
2026-04-16 00:00:00+00:00,35,11,0,0
2026-04-17 00:00:00+00:00,11,5,0,0
2026-04-18 00:00:00+00:00,12,7,0,0
